
 exp_p = 0.598906, time = 2.337859, life_exp = 98.654228, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 8

 exp_p = 0.598908, time = 3.447000, life_exp = 98.687930, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.598523, time = 2.326184, life_exp = 98.698572, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.598017, time = 2.287339, life_exp = 98.673426, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.599135, time = 2.299390, life_exp = 98.661104, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.598648, time = 2.324081, life_exp = 98.573596, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.598480, time = 2.297801, life_exp = 98.646422, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.598629, time = 2.343158, life_exp = 98.673360, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.598378, time = 2.310043, life_exp = 98.637928, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.598960, time = 2.266096, life_exp = 98.702610, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.598034, time = 2.306304, life_exp = 98.617238, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.598638, time = 2.305186, life_exp = 98.671274, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.598749, time = 2.222345, life_exp = 98.742088, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.598749, time = 2.209871, life_exp = 98.742088, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.598749, time = 2.226559, life_exp = 98.742088, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.599400, time = 0.045220, life_exp = 98.772000, a = 0, b = 20, x = 10, N = 10000, p = 0.510000, P = 1

 exp_p = 0.599400, time = 0.032800, life_exp = 98.772000, a = 0, b = 20, x = 10, N = 10000, p = 0.510000, P = 1

 exp_p = 0.599400, time = 0.022144, life_exp = 98.772000, a = 0, b = 20, x = 10, N = 10000, p = 0.510000, P = 1

 exp_p = 0.599400, time = 0.034596, life_exp = 98.772000, a = 0, b = 20, x = 10, N = 10000, p = 0.510000, P = 1

 exp_p = 0.599400, time = 0.032433, life_exp = 98.772000, a = 0, b = 20, x = 10, N = 10000, p = 0.510000, P = 1

 exp_p = 0.599400, time = 0.037611, life_exp = 98.772000, a = 0, b = 20, x = 10, N = 10000, p = 0.510000, P = 1

 exp_p = 0.599400, time = 0.021352, life_exp = 98.772000, a = 0, b = 20, x = 10, N = 10000, p = 0.510000, P = 1

 exp_p = 0.599400, time = 0.021254, life_exp = 98.772000, a = 0, b = 20, x = 10, N = 10000, p = 0.510000, P = 1

 exp_p = 0.881000, time = 0.432285, life_exp = 1906.817400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 1

